Datetime,Opening Price,Highest Price,Lowest Price,Closing Price,Trading Volume
2023-11-01 13:00:00,183.42,183.57,183.42,183.52,286070
2023-11-01 13:30:00,183.54,183.6,183.38,183.44,289088
2023-11-01 14:00:00,183.44,183.88,183.42,183.5,345527
2023-11-01 14:30:00,183.5,183.84,182.67,183.15,1017432
2023-11-01 15:00:00,183.15,183.79,183.15,183.51,737705
2023-11-01 15:30:00,183.52,183.83,183.43,183.5,1016804
2023-11-03 09:30:00,184.48,185.47,184.35,184.96,1626879
2023-11-03 10:00:00,185.03,185.41,184.4,184.51,1162382
2023-11-03 10:30:00,184.46,185.04,184.41,184.94,516984
2023-11-03 11:00:00,184.95,185.07,184.73,184.9,460898
2023-11-03 11:30:00,184.89,185.09,184.62,184.7,454974
2023-11-03 12:00:00,184.7,184.84,184.48,184.57,724423
2023-11-03 12:30:00,184.57,184.81,184.52,184.57,418212
2023-11-03 13:00:00,184.56,184.82,184.52,184.69,481168
2023-11-03 13:30:00,184.69,184.87,184.63,184.82,778375
2023-11-03 14:00:00,184.82,184.91,184.79,184.91,333787
2023-11-03 14:30:00,184.92,185.0,184.9,184.99,191421
2023-11-03 15:00:00,185.0,185.01,184.8,184.85,262061
2023-11-03 15:30:00,184.85,184.87,184.68,184.78,698352
2023-11-06 09:30:00,184.14,184.23,183.99,184.06,965631
2023-11-06 10:00:00,184.05,184.14,183.94,184.0,731323
2023-11-06 10:30:00,184.01,184.02,183.7,183.7,1708682
2023-11-06 11:00:00,183.71,183.89,183.58,183.79,568366
2023-11-06 11:30:00,183.78,183.98,183.75,183.92,604372
2023-11-06 12:00:00,183.92,184.01,183.87,183.98,202982
2023-11-06 12:30:00,183.99,184.01,183.9,183.96,248901
2023-11-06 13:00:00,183.94,183.94,183.73,183.74,178074
2023-11-06 13:30:00,183.75,183.81,183.64,183.71,327831
2023-11-06 14:00:00,183.72,183.74,183.52,183.54,324539
2023-11-06 14:30:00,183.53,183.64,183.52,183.62,215575
2023-11-06 15:00:00,183.62,183.63,183.53,183.56,6506496
2023-11-06 15:30:00,183.57,183.57,183.34,183.37,1256512
2023-11-07 09:30:00,182.25,182.38,181.75,181.77,1333337
2023-11-07 10:00:00,181.76,182.25,181.76,182.06,723816
2023-11-07 10:30:00,182.05,182.19,181.93,182.05,393959
2023-11-07 11:00:00,182.05,182.35,182.04,182.1,529090
2023-11-07 11:30:00,182.1,182.31,182.09,182.17,272698
2023-11-07 12:00:00,182.18,182.2,181.93,181.94,340424
2023-11-07 12:30:00,181.93,182.1,181.9,182.1,461285
2023-11-07 13:00:00,182.12,182.5,182.08,182.39,340683
2023-11-07 13:30:00,182.39,182.65,182.38,182.61,292047
2023-11-07 14:00:00,182.61,182.65,182.46,182.51,230376
2023-11-07 14:30:00,182.53,182.54,182.4,182.44,202746
2023-11-07 15:00:00,182.43,182.54,182.38,182.53,5499223
2023-11-07 15:30:00,182.53,182.6,182.49,182.59,925071
2023-11-08 09:30:00,182.01,182.07,181.73,181.76,574527
2023-11-08 10:00:00,181.75,181.79,181.31,181.42,813785
2023-11-08 10:30:00,181.44,181.55,180.9,181.33,681288
2023-11-08 11:00:00,181.32,181.56,181.03,181.41,585276
2023-11-08 11:30:00,181.4,181.5,181.16,181.26,340369
2023-11-08 12:00:00,181.27,181.45,181.08,181.12,313006
2023-11-08 12:30:00,181.12,181.27,181.02,181.15,247141
2023-11-08 13:00:00,181.16,181.24,180.95,181.01,296994
2023-11-08 13:30:00,181.01,181.09,180.9,180.99,411645
2023-11-08 14:00:00,181.0,181.0,180.75,180.79,390352
2023-11-08 14:30:00,180.8,180.8,180.58,180.63,465030
2023-11-08 15:00:00,180.64,180.79,180.57,180.76,371696
2023-11-08 15:30:00,180.76,180.84,180.68,180.77,956454
2023-11-09 09:30:00,180.95,181.63,180.92,181.57,762611
2023-11-09 10:00:00,181.56,181.83,181.31,181.55,494112
2023-11-09 10:30:00,181.54,182.21,181.51,182.02,698076
2023-11-09 11:00:00,182.02,182.05,181.82,181.96,485622
2023-11-09 11:30:00,181.93,182.08,181.71,181.78,364904
2023-11-09 12:00:00,181.79,182.12,181.75,181.9,223578
2023-11-09 12:30:00,181.9,182.04,181.78,181.92,326386
2023-11-09 13:00:00,181.91,182.28,181.59,182.15,665812
2023-11-09 13:30:00,182.15,182.22,181.99,182.02,267529
