date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-08-11,1794.300049,1794.300049,1785.699951,1789.699951,1789.699951,1235,1235,-4.6001,-0.25637,1789.9,"August 11, 22",-0.0025637
2022-08-10,1804.400024,1804.900024,1787.800049,1795.599976,1795.599976,601,601,-8.80005,-0.4877,1796.1,"August 10, 22",-0.004877
2022-08-09,1790,1796.099976,1789,1794,1794,249,249,4,0.22346,1793.03,"August 09, 22",0.0022346
2022-08-08,1771.800049,1786.800049,1771.800049,1786.800049,1786.800049,127,127,15,0.8466,1781.8,"August 08, 22",0.008466
2022-08-05,1791.199951,1791.400024,1764.199951,1772.900024,1772.900024,645,645,-18.29993,-1.02,1776.17,"August 05, 22",-0.0102
2022-08-04,1769.400024,1792.099976,1767.699951,1788.5,1788.5,285,285,19.09998,1.08,1782.77,"August 04, 22",0.0108
2022-08-03,1756.699951,1770.5,1753,1758,1758,399,399,1.30005,0.07400518,1760.5,"August 03, 22",0.0007400518
2022-08-02,1772.099976,1786.599976,1759.400024,1771.099976,1771.099976,1078,1078,-1,-0.05643022,1772.37,"August 02, 22",-0.0005643022
2022-08-01,1763.900024,1772.5,1756.099976,1769,1769,705,705,5.09998,0.28913,1765.87,"August 01, 22",0.0028913
2022-07-29,1754,1765.699951,1750,1762.900024,1762.900024,3485,3485,8.90002,0.50741,1759.53,"July 29, 22",0.0050741
2022-07-28,1732.300049,1755,1732,1750.300049,1750.300049,37236,37236,18,1.04,1745.77,"July 28, 22",0.0104
2022-07-27,1719.099976,1719.099976,1719.099976,1719.099976,1719.099976,144865,144865,0,0,1719.1,"July 27, 22",0
2022-07-26,1718,1718,1717.699951,1717.699951,1717.699951,1,1,-0.300049,-0.01746502,1717.8,"July 26, 22",-0.0001746502
2022-07-25,1727,1732,1719,1719,1719,67,67,-8,-0.46323,1723.33,"July 25, 22",-0.0046323
2022-07-22,1713.300049,1735,1713,1727.099976,1727.099976,61,61,13.79993,0.80546,1725.03,"July 22, 22",0.0080546
2022-07-21,1687,1715.5,1679.800049,1712.699951,1712.699951,183,183,25.69995,1.52,1702.67,"July 21, 22",0.0152
2022-07-20,1707.099976,1708.5,1699.5,1699.5,1699.5,130,130,-7.59998,-0.4452,1702.5,"July 20, 22",-0.004452
2022-07-19,1712.300049,1714.400024,1706.099976,1710,1710,1684,1684,-2.30005,-0.13433,1710.17,"July 19, 22",-0.0013433
2022-07-18,1712.199951,1712.400024,1709.199951,1709.199951,1709.199951,264,264,-3,-0.17521,1710.27,"July 18, 22",-0.0017521
2022-07-15,1705.400024,1709.699951,1701.099976,1702.400024,1702.400024,721,721,-3,-0.17591,1704.4,"July 15, 22",-0.0017591
2022-07-14,1710.300049,1710.5,1704.5,1704.5,1704.5,1289,1289,-5.80005,-0.33912,1706.5,"July 14, 22",-0.0033912
2022-07-13,1710,1734.199951,1710,1734.199951,1734.199951,368,368,24.19995,1.42,1726.13,"July 13, 22",0.0142
2022-07-12,1734.199951,1735.5,1723.300049,1723.300049,1723.300049,451,451,-10.8999,-0.62853,1727.37,"July 12, 22",-0.0062853
2022-07-11,1732.5,1736.699951,1730,1730,1730,75,75,-2.5,-0.1443,1732.23,"July 11, 22",-0.001443
2022-07-08,1738.099976,1749.300049,1732.099976,1740.599976,1740.599976,370,370,2.5,0.14384,1740.67,"July 08, 22",0.0014384
2022-07-07,1745.199951,1745.199951,1737,1737.900024,1737.900024,1869,1869,-7.29993,-0.41829,1740.03,"July 07, 22",-0.0041829
2022-07-06,1762.5,1768,1734,1734.900024,1734.900024,1729,1729,-27.59998,-1.57,1745.63,"July 06, 22",-0.0157
2022-07-05,1805.400024,1805.400024,1761.800049,1761.800049,1761.800049,64,64,-43.59998,-2.41,1776.33,"July 05, 22",-0.0241
2022-07-04,1817,1817,1768.9,1768.9,1768.9,0,0,-48.1,-2.65,1792.9499999999998,"July 04, 22",-0.0265
2022-07-01,1795.5,1806.099976,1791.599976,1798.900024,1798.900024,77,77,3.40002,0.18936,1798.87,"July 01, 22",0.0018936
2022-06-30,1809.599976,1817.300049,1801,1804.099976,1804.099976,328,328,-5.5,-0.30393,1807.47,"June 30, 22",-0.0030393
2022-06-29,1818.300049,1830.300049,1812.800049,1813.699951,1813.699951,173,173,-4.6001,-0.25299,1818.93,"June 29, 22",-0.0025299
2022-06-28,1824.199951,1826,1817.5,1817.5,1817.5,391,391,-6.69995,-0.36728,1820.33,"June 28, 22",-0.0036728
2022-06-27,1830.5,1830.699951,1819.900024,1820.900024,1820.900024,77,77,-9.59998,-0.52445,1823.83,"June 27, 22",-0.0052445
2022-06-24,1820.5,1826.5,1815.800049,1826.5,1826.5,61,61,6,0.32958,1822.93,"June 24, 22",0.0032958
2022-06-23,1835.5,1841.199951,1825.699951,1825.699951,1825.699951,9,9,-9.80005,-0.53392,1830.87,"June 23, 22",-0.0053392
2022-06-22,1829.5,1842.699951,1821.599976,1834.300049,1834.300049,115,115,4.80005,0.26237,1832.87,"June 22, 22",0.0026237
2022-06-21,1835.300049,1838.599976,1830.099976,1834.599976,1834.599976,216,216,-0.700073,-0.03814488,1834.43,"June 21, 22",-0.0003814488
2022-06-20,1840.6,1848.4,1830.7,1838.8,1838.8,0,0,-1.8,-0.0977942,1839.6250000000002,"June 20, 22",-0.000977942
2022-06-17,1853.699951,1853.699951,1833.599976,1835.599976,1835.599976,170,170,-18.09998,-0.97642,1840.97,"June 17, 22",-0.0097642
2022-06-16,1819.199951,1850.599976,1814.900024,1845.699951,1845.699951,136,136,26.5,1.46,1837.07,"June 16, 22",0.0146
2022-06-15,1814.099976,1839,1810.800049,1815.300049,1815.300049,108,108,1.20007,0.06615253,1821.7,"June 15, 22",0.0006615253
2022-06-14,1825,1825.5,1805.300049,1809.5,1809.5,536,536,-15.5,-0.84932,1813.43,"June 14, 22",-0.0084932
2022-06-13,1873.800049,1873.800049,1818.699951,1828,1828,127,127,-45.80005,-2.44,1840.17,"June 13, 22",-0.0244
2022-06-10,1842.699951,1875.599976,1823.900024,1871.5,1871.5,1490,1490,28.80005,1.56,1857,"June 10, 22",0.0156
2022-06-09,1846.099976,1850.099976,1837.900024,1848.800049,1848.800049,159,159,2.70007,0.14626,1845.6,"June 09, 22",0.0014626
2022-06-08,1844.800049,1855,1844.400024,1851.900024,1851.900024,218,218,7.09998,0.38486,1850.43,"June 08, 22",0.0038486
2022-06-07,1836.900024,1851.599976,1835,1847.5,1847.5,1168,1168,10.59998,0.57706,1844.7,"June 07, 22",0.0057706
2022-06-06,1849,1854.099976,1839.199951,1839.199951,1839.199951,142,142,-9.80005,-0.53002,1844.17,"June 06, 22",-0.0053002
2022-06-03,1867.599976,1871.800049,1845.400024,1845.400024,1845.400024,53,53,-22.19995,-1.19,1854.2,"June 03, 22",-0.0119
2022-06-02,1845.400024,1868.699951,1842.099976,1866.5,1866.5,551,551,21.09998,1.14,1859.1,"June 02, 22",0.0114
2022-06-01,1831,1847.900024,1825.300049,1843.300049,1843.300049,1623,1623,12.30005,0.67177,1838.83,"June 01, 22",0.0067177
2022-05-31,1850.300049,1862.099976,1832.800049,1842.699951,1842.699951,4073,4073,-7.6001,-0.41075,1845.87,"May 31, 22",-0.0041075
2022-05-30,1856.5,1867.9,1837.6,1848.4,1848.4,0,0,-8.1,-0.4363,1852.6,"May 30, 22",-0.004363
2022-05-27,1848.300049,1860.699951,1845.900024,1851.300049,1851.300049,30091,30091,3,0.16231,1852.63,"May 27, 22",0.0016231
2022-05-26,1840.400024,1847.400024,1840.400024,1847.400024,1847.400024,123355,123355,7,0.38035,1845.07,"May 26, 22",0.0038035
2022-05-25,1846.199951,1846.199951,1846.199951,1846.199951,1846.199951,0,0,0,0,1846.2,"May 25, 22",0
2022-05-24,1852.5,1867,1852.5,1865.099976,1865.099976,33,33,12.59998,0.68016,1861.53,"May 24, 22",0.0068016
2022-05-23,1846.300049,1863,1845.800049,1847.800049,1847.800049,216,216,1.5,0.08124357,1852.2,"May 23, 22",0.0008124357
2022-05-20,1839.099976,1841.800049,1836.300049,1841.800049,1841.800049,110,110,2.70007,0.14681,1839.97,"May 20, 22",0.0014681
2022-05-19,1810.900024,1841.199951,1810.699951,1841.199951,1841.199951,138,138,30.29993,1.67,1831.03,"May 19, 22",0.0167
2022-05-18,1815,1819.699951,1805,1815.900024,1815.900024,311,311,0.900024,0.0495881,1813.53,"May 18, 22",0.000495881
2022-05-17,1824.900024,1828.599976,1816.699951,1818.199951,1818.199951,121,121,-6.70007,-0.36715,1821.17,"May 17, 22",-0.0036715
2022-05-16,1790.5,1813.5,1787,1813.5,1813.5,34,34,23,1.28,1804.67,"May 16, 22",0.0128
2022-05-13,1825,1825,1807.400024,1807.400024,1807.400024,335,335,-17.59998,-0.96438,1813.27,"May 13, 22",-0.0096438
2022-05-12,1849.800049,1851.900024,1822.199951,1823.800049,1823.800049,153,153,-26,-1.41,1832.63,"May 12, 22",-0.0141
2022-05-11,1841.5,1852.599976,1841,1852.599976,1852.599976,892,892,11.09998,0.60277,1848.73,"May 11, 22",0.0060277
2022-05-10,1839.900024,1839.900024,1839.900024,1839.900024,1839.900024,1540,1540,0,0,1839.9,"May 10, 22",0
2022-05-09,1866.599976,1867.5,1854,1857.099976,1857.099976,304,304,-9.5,-0.50895,1859.53,"May 09, 22",-0.0050895
2022-05-06,1874.699951,1890.300049,1871.5,1881.199951,1881.199951,214,214,6.5,0.34672,1881,"May 06, 22",0.0034672
2022-05-05,1897,1904.300049,1874,1874,1874,80,80,-23,-1.21,1884.1,"May 05, 22",-0.0121
2022-05-04,1867,1867,1867,1867,1867,1,1,0,0,1867,"May 04, 22",0
2022-05-03,1868.800049,1868.800049,1868.800049,1868.800049,1868.800049,466,466,0,0,1868.8,"May 03, 22",0
2022-05-02,1896.699951,1896.800049,1853,1861.800049,1861.800049,385,385,-34.8999,-1.84,1870.53,"May 02, 22",-0.0184
2022-04-29,1902.699951,1918.199951,1902.400024,1909.300049,1909.300049,132,132,6.6001,0.34688,1909.97,"April 29, 22",0.0034688
2022-04-28,1883.800049,1893,1872.900024,1888.699951,1888.699951,513,513,4.8999,0.26011,1884.87,"April 28, 22",0.0026011
2022-04-27,1897.800049,1900.599976,1882.199951,1885.900024,1885.900024,1786,1786,-11.90002,-0.62704,1889.57,"April 27, 22",-0.0062704
2022-04-26,1900.5,1909.099976,1894,1901.400024,1901.400024,302,302,0.900024,0.04735722,1901.5,"April 26, 22",0.0004735722
2022-04-25,1925,1925,1889.300049,1893.199951,1893.199951,748,748,-31.80005,-1.65,1902.5,"April 25, 22",-0.0165
2022-04-22,1949.599976,1950.400024,1930.199951,1931,1931,178,178,-18.59998,-0.95404,1937.2,"April 22, 22",-0.0095404
2022-04-21,1942.5,1944.900024,1942.5,1944.900024,1944.900024,4,4,2.40002,0.12355,1944.1,"April 21, 22",0.0012355
2022-04-20,1945.5,1953.599976,1945.5,1952.300049,1952.300049,621,621,6.80005,0.34953,1950.47,"April 20, 22",0.0034953
2022-04-19,1973.800049,1978.300049,1945.699951,1955.699951,1955.699951,130,130,-18.1001,-0.91702,1959.9,"April 19, 22",-0.0091702
2022-04-18,1973.400024,1997.099976,1972.800049,1982.900024,1982.900024,196,196,9.5,0.4814,1984.27,"April 18, 22",0.004814
2022-04-14,1977.199951,1978.699951,1963,1970.900024,1970.900024,101,101,-6.29993,-0.31863,1970.87,"April 14, 22",-0.0031863
2022-04-13,1969.5,1981,1969.5,1981,1981,204,204,11.5,0.5839,1977.17,"April 13, 22",0.005839
2022-04-12,1952.5,1977.099976,1950.599976,1972.099976,1972.099976,246,246,19.59998,1,1966.6,"April 12, 22",0.01
2022-04-11,1946.599976,1968.400024,1941.800049,1944.300049,1944.300049,163,163,-2.29993,-0.11815,1951.5,"April 11, 22",-0.0011815
2022-04-08,1928.800049,1947.699951,1928.800049,1941.599976,1941.599976,153,153,12.79993,0.66362,1939.37,"April 08, 22",0.0066362
2022-04-07,1919.5,1934.800049,1919.5,1933.800049,1933.800049,311,311,14.30005,0.74499,1929.37,"April 07, 22",0.0074499
2022-04-06,1916.699951,1931.800049,1916.699951,1918.400024,1918.400024,138,138,1.70007,0.08869792,1922.3,"April 06, 22",0.0008869792
2022-04-05,1927.099976,1943.5,1918.400024,1922.900024,1922.900024,412,412,-4.19995,-0.21794,1928.27,"April 05, 22",-0.0021794
2022-04-04,1921.199951,1936.099976,1915.599976,1929.199951,1929.199951,371,371,8,0.41641,1926.97,"April 04, 22",0.0041641
2022-04-01,1935,1938,1917,1919.099976,1919.099976,1016,1016,-15.90002,-0.82171,1924.7,"April 01, 22",-0.0082171
2022-03-31,1933.5,1949.900024,1919.099976,1949.199951,1949.199951,3617,3617,15.69995,0.812,1939.4,"March 31, 22",0.00812
2022-03-30,1918.400024,1937,1914.5,1933.5,1933.5,17765,17765,15.09998,0.78711,1928.33,"March 30, 22",0.0078711
2022-03-29,1893.5,1912,1893.5,1912,1912,128051,128051,18.5,0.97703,1905.83,"March 29, 22",0.0097703
2022-03-28,1932.599976,1939.599976,1932.599976,1939.599976,1939.599976,7,7,7,0.36221,1937.27,"March 28, 22",0.0036221
2022-03-25,1953.800049,1953.800049,1953.800049,1953.800049,1953.800049,83,83,0,0,1953.8,"March 25, 22",0
2022-03-24,1963.599976,1964,1961.599976,1961.599976,1961.599976,8,8,-2,-0.10185,1962.4,"March 24, 22",-0.0010185
2022-03-23,1936.599976,1936.599976,1936.599976,1936.599976,1936.599976,204,204,0,0,1936.6,"March 23, 22",0
2022-03-22,1920.699951,1920.699951,1920.699951,1920.699951,1920.699951,26,26,0,0,1920.7,"March 22, 22",0
2022-03-21,1925.400024,1928.599976,1925,1928.599976,1928.599976,5,5,3.19995,0.1662,1927.4,"March 21, 22",0.001662
2022-03-18,1934.5,1939.300049,1928.199951,1928.199951,1928.199951,28,28,-6.30005,-0.32567,1931.9,"March 18, 22",-0.0032567
2022-03-17,1933.900024,1947.199951,1933.900024,1942.099976,1942.099976,39,39,8.19995,0.42401,1941.07,"March 17, 22",0.0042401
2022-03-16,1922.400024,1922.400024,1907.199951,1908,1908,104,104,-14.40002,-0.74906,1912.53,"March 16, 22",-0.0074906
2022-03-15,1939.800049,1939.900024,1910.699951,1928.5,1928.5,71,71,-11.30005,-0.58254,1926.37,"March 15, 22",-0.0058254
2022-03-14,1976.5,1977.699951,1959.599976,1959.599976,1959.599976,145,145,-16.90002,-0.85505,1965.63,"March 14, 22",-0.0085505
2022-03-11,1985,1996,1959.900024,1982.699951,1982.699951,865,865,-2.30005,-0.11587,1979.53,"March 11, 22",-0.0011587
2022-03-10,1978.099976,2010.5,1978.099976,1998.099976,1998.099976,670,670,20,1.01,1995.57,"March 10, 22",0.0101
2022-03-09,2053.600098,2063,1980.800049,1985.900024,1985.900024,1022,1022,-67.70007,-3.3,2009.9,"March 09, 22",-0.033
2022-03-08,1999.400024,2072,1998,2040.099976,2040.099976,1813,1813,40.69995,2.04,2036.7,"March 08, 22",0.0204
